title,year,total_sales
Reel Fishing II,2000.0,0.18
Juiced,2005.0,0.18
Santa Claus Is Comin' to Town!,2011.0,0.06
Jambo! Safari Animal Rescue,2010.0,0.01
Resident Evil 6,2012.0,1.97
Defender,2002.0,0.01
Stunt GP,2001.0,0.05
Rune Factory: Tides of Destiny,2011.0,0.19
Bleach: The Blade of Fate,2007.0,0.45
Combat: Task Force 121,2005.0,0.07
Terminator Salvation,2009.0,0.35
Dynasty Warriors 8: Xtreme Legends,2014.0,0.31
Atelier Iris 2: The Azoth Of Destiny,2006.0,0.06
MotoGP 17,2017.0,0.14
Power Pro Kun Pocket 11,2008.0,0.29
Pitfall: The Lost Expedition,2004.0,0.07
Eternal Poison,2008.0,0.14
Shadow Tactics: Blades of the Shogun,2017.0,0.04
The Last Guy,2008.0,0.03
Jade Rousseau,2011.0,0.0
Jikkyou Powerful Pro Yakyuu 2010,2010.0,0.2
NUGA-CEL!,2009.0,0.01
All-Star Baseball 2002,2001.0,0.22
Enclave,2002.0,0.14
Guilty Gear XX Accent Core Plus,2009.0,0.08
Wolfenstein: The Old Blood,2015.0,0.15
Cars Toon: Mater's Tall Tales,2010.0,0.51
NFL Blitz 2001,2000.0,0.42
Extermination,2001.0,0.55
Hurry Up Hedgehog!,2009.0,0.02
Spectrobes,2007.0,0.75
SSX Tricky,2001.0,0.54
Sudden Strike 4,2017.0,0.1
Dynasty Warriors 8: Xtreme Legends,2014.0,0.12
Bus Driver,2008.0,0.01
Maths Made Simple,2008.0,0.0
Hasbro Family Fun Pack Conquest Edition,2016.0,0.06
Kouekizaidan Houjin Nihon Kanji Nouryoku Kentei Kyoukai: Kanken Training,2014.0,0.01
Rango: The Video Game,2011.0,0.12
Last Escort: Club Katze,2010.0,0.03
007: Quantum of Solace,2008.0,1.14
Yoshi Touch & Go (JP sales),2005.0,0.22
Plants vs Zombies: Garden Warfare,2014.0,0.66
The King of Fighters XII,2009.0,0.11
Wario: Master of Disguise,2007.0,0.65
NHL 12,2011.0,0.7
Disney's Tarzan Untamed,2001.0,0.18
Tiger Woods PGA Tour 08,2007.0,0.73
Ride! Carnival Tycoon,2007.0,0.0
Konoyo no Hate de Koi o Utau Shoujo: Yu-No,2017.0,0.02
Code: Realize - Guardian of Rebirth,2015.0,0.12
Curious George,2006.0,0.12
Brain Age: Concentration Training,2013.0,0.09
Dance Party: Club Hits,2009.0,0.0
ShellShock 2: Blood Trails,2009.0,0.08
Man vs. Wild,2011.0,0.08
Mercenaries 2: World in Flames,2008.0,0.38
2 Games in 1 Double Pack: The Incredibles / Finding Nemo: The Continuing Adventures,2007.0,1.76
Frogger: Ancient Shadow,2005.0,0.03
NHL 2004,2003.0,0.97
Jewel Master: Cradle of Athena,2010.0,0.18
Charlotte's Web,2006.0,0.09
Scribblenauts: Unlimited,2012.0,0.64
Batman: Return to Arkham,2016.0,0.64
Ben 10: Protector of Earth,2007.0,1.7
Inspector Gadget: Gadget's Crazy Maze,2001.0,0.05
The Inner World,2013.0,0.03
Iron Man,2008.0,0.51
BlazBlue: Chrono Phantasma Extend,2015.0,0.03
Backyard NFL Football '09,2008.0,0.21
Kamen Rider: Battride War Genesis,2016.0,0.06
Finding Nemo,2003.0,2.82
Ninja Assault,2002.0,0.11
LEGO Marvel's Avengers,2016.0,1.01
Flipping Death,2018.0,0.02
I SPY castle,2011.0,0.19
Forgotten Realms: Demon Stone,2004.0,0.2
Burnout Paradise,2008.0,1.95
Capcom Classics Mini Mix,2006.0,0.0
Daisy Fuentes Pilates,2009.0,0.25
Battlezone: Rise of the Black Dogs,2000.0,0.07
Jurassic: The Hunted,2009.0,0.15
WOW! 6 Games Simulations Collection,2015.0,0.0
World Racing,2003.0,0.07
Tron 2.0: Killer App,2004.0,0.06
WRC 5: FIA World Rally Championship,2015.0,0.01
Blazing Angels: Squadrons of WWII,2007.0,0.84
Major League Baseball 2K9,2009.0,0.61
Moe Moe 2-ji Daisenryaku 3,2017.0,0.01
Captain Morgane and the Golden Turtle,2012.0,0.03
F24: Stealth Fighter,2007.0,0.0
Puzzle Quest: Galactrix,2009.0,0.16
Chocobo to Mahou no Ehon: Special Package,2008.0,0.0
Tenka-bito,2006.0,0.03
Skydiving Extreme,2001.0,0.08
Medarot 3: Kabuto / Kuwagata Version,2000.0,0.27
Pro Evolution Soccer 2014,2013.0,0.17
Soul Bubbles,2008.0,0.08
NBA Starting Five,2002.0,0.02
How to Train Your Dragon 2,2014.0,0.08
Treasure Chase,2011.0,0.02
Dragon Age: Origins,2009.0,1.67
I Heart Geeks,2011.0,0.03
The Cursed Crusade,2011.0,0.17
LEGO Star Wars II: The Original Trilogy,2006.0,0.63
Silent Hill: Origins,2008.0,0.07
The Sims 4,2017.0,0.73
The Powerpuff Girls: Chemical X-Traction,2001.0,0.25
Max Payne 2: The Fall of Max Payne,2003.0,0.64
Ultimate Shooting Collection,2009.0,0.08
Klonoa 2: Lunatea's Veil,2001.0,0.33
Sherlock Holmes: Crimes & Punishments,2014.0,0.07
Sesame Street: Cookie's Counting Carnival,2010.0,0.27
Tribes: Aerial Assault,2002.0,0.23
NBA Live 2004,2003.0,2.03
Dear Girl: Stories Hibiki - Hibiki Tokkun Daisakusen!,2009.0,0.01
NASCAR The Game: Inside Line,2012.0,0.09
Secrets of the Titanic,2012.0,0.02
World Cup of Pool,2010.0,0.06
Ford Racing Off Road,2008.0,0.14
Super Heroine Chronicle,2014.0,0.03
Hard Rock Casino,2007.0,0.14
Quantum Break,2016.0,0.76
Saru! Get You! Pipo Saru Senki,2009.0,0.04
NCAA Football 11,2010.0,0.93
Karaoke Joysound Wii,2009.0,0.25
Reel Fishing III,2003.0,0.37
Strike Force Bowling,2004.0,0.04
Disney Epic Mickey 2: The Power of Two,2012.0,0.98
Aqua Teen Hunger Force: Zombie Ninja Pro-Am,2007.0,0.07
River City Ransom EX,2004.0,0.07
Disgaea 2: Cursed Memories,2006.0,0.33
Ratatouille,2007.0,1.25
Batman: Dark Tomorrow,2003.0,0.08
LEGO Star Wars: The Video Game,2005.0,1.14
Alien: Isolation,2014.0,1.09
Classified: The Sentinel Crisis,2006.0,0.0
Outlaw Tennis,2005.0,0.08
Rabbids Party Collection,2010.0,0.18
Magi: Aratanaru Sekai,2014.0,0.06
Risk / Battleship / Clue,2005.0,0.34
The Saboteur,2009.0,0.51
Just Dance Kids 2,2011.0,0.41
Just Dance 4,2012.0,0.38
Sengoku Basara 2 Heroes,2007.0,0.2
Supreme Commander,2008.0,0.09
Aven Colony,2017.0,0.06
FIFA Soccer 08,2007.0,1.35
Trinity Universe,2010.0,0.18
Casino Chaos With Las Vegas Players Collection,2011.0,0.06
Super Monkey Ball Jr.,2002.0,0.72
Legends of Wrestling II,2002.0,0.12
SingStar Motown,2009.0,0.44
Final Fantasy XI: Vana'diel Collection 2008,2007.0,0.08
Ultimate Marvel vs. Capcom 3,2017.0,0.26
NHL 14,2013.0,0.57
Thrillville: Off the Rails,2007.0,0.1
Guilty Gear Xrd -Revelator-,2016.0,0.11
Chronostacia,2014.0,0.01
World of Final Fantasy,2016.0,0.62
Metal Gear Solid V: The Definitive Experience,2016.0,0.29
Pheasants Forever Wingshooter,2010.0,0.06
Pirates of the Caribbean: At World's End,2007.0,0.34
Quantum Theory,2010.0,0.19
Cartoon Network: Punch Time Explosion,2011.0,0.1
Culdcept DS,2008.0,0.1
Dexter's Laboratory Deesaster Strikes,2001.0,0.41
Casper: Spirit Dimensions,2001.0,0.14
Karaoke Joysound Wii DX,2009.0,0.09
WWE 2K17,2016.0,0.3
Ninjatown,2008.0,0.13
Kenkou Ouen Recipe 1000: DS Kondate Zenshuu,2006.0,0.52
Bleach: Dark Souls (JP sales),2008.0,0.1
Soccer Kid,2002.0,0.0
Doko Demo Issho: Let's Gakkou!,2006.0,0.04
Asterix and Obelix XXL2,2018.0,0.06
Cabela's Big Game Hunter 2012,2011.0,0.24
Lego Batman 3: Beyond Gotham,2014.0,0.94
Adventure Time: Finn & Jake Investigations,2015.0,0.14
F1 2016,2016.0,0.22
R: Racing Evolution,2003.0,0.09
Once Upon A Time,2010.0,0.01
Game Center CX: 3-Choume no Arino,2014.0,0.06
Grand Ages: Medieval,2015.0,0.09
Rogue Trooper: Quartz Zone Massacre,2009.0,0.07
Tiger Woods PGA Tour 2005,2004.0,0.01
The Lord of the Rings: The Return of the King,2003.0,0.69
Higurashi Daybreak Portable Mega Edition,2009.0,0.02
Professional Farmer 2016,2015.0,0.0
Sniper Elite III,2014.0,0.01
FIFA Soccer 12,2011.0,6.65
Mahjong Kakutou Club: Zenkoku Taisenban,2006.0,0.03
Runaway: The Dream of the Turtle,2007.0,0.0
Uchi no 3 Shimai DS 2: 3 Shimai no Dekake Daisakusen,2009.0,0.01
Madden NFL 15,2014.0,2.09
SpellForce 2: Shadow Wars,2006.0,0.0
Unfabulous,2006.0,0.0
Guilty Gear X,2001.0,0.12
Bakumatsu Rock: Ultra Soul,2014.0,0.02
Call of Duty: Advanced Warfare,2014.0,7.53
Sins of a Solar Empire: Trinity,2010.0,0.03
Pariah,2005.0,0.1
Sakura Wars 3: Paris wa Moeteiru ka,2001.0,0.33
Disney's A Christmas Carol,2009.0,0.24
Redout,2017.0,0.02
Don King Boxing,2009.0,0.26
Ar tonelico: Melody of Elemia,2007.0,0.1
Harvey Birdman: Attorney at Law,2008.0,0.11
Bleach: Soul Carnival 2,2009.0,0.03
Brothers In Arms: Earned In Blood,2005.0,0.46
Danganronpa 1-2 Reload,2017.0,0.0
Tiger Woods PGA Tour 08,2007.0,0.06
What's Cooking? Jamie Oliver,2008.0,0.23
Backyard Skateboarding 2006,2004.0,0.06
The Typing of the Dead,2001.0,0.05
Emergency Heroes,2008.0,0.47
NBA 2K11,2010.0,2.11
Hunter: The Reckoning Redeemer,2003.0,0.17
Tiger Woods PGA Tour 07,2006.0,0.72
"Sharin no Kuni, Himawari no Shoujo",2010.0,0.02
Mario Pinball Land,2004.0,0.69
Shin Megami Tensei: Devil Survivor 2 Record Breaker,2015.0,0.13
The Elder Scrolls Online: Morrowind,2017.0,0.14
Ready 2 Rumble Boxing: Round 2,2000.0,0.52
WWE SmackDown vs Raw 2008,2007.0,0.98
Capcom vs. SNK 2: Millionaire Fighting 2001,2001.0,0.12
Harry Potter and the Goblet of Fire,2005.0,0.19
Trivial Pursuit unhinged,2004.0,0.0
The Shoot,2010.0,0.34
Doraemon: Shin Nobita no Nihon Tanjou,2016.0,0.05
Cabela's Dangerous Hunts 2009,2008.0,0.38
Reader Rabbit Kindergarten,2010.0,0.12
Fishdom 2 Deluxe,2010.0,0.02
