title,year,total_sales
Cabela's Monster Buck Hunter,2010.0,0.61
Project Runway,2010.0,0.25
Dragon Quest Heroes I & II for Nintendo Switch,2017.0,0.09
Loving Life with Hello Kitty & Friends,2011.0,0.24
NBA 2K19,2018.0,2.63
Riviera: The Promised Land,2007.0,0.09
Kung-Fu: High Impact,2011.0,0.13
Yakuza Kiwami,2016.0,0.13
LEGO Batman: The Videogame,2008.0,1.31
World Snooker Championship: Season 2007-08,2007.0,0.0
Crayola: Colorful Journey,2009.0,0.07
Need for Speed: Nitro,2009.0,0.38
Resident Evil 3: Nemesis,2003.0,0.08
Time of Shadows,2009.0,0.0
Blade Arcus from Shining EX,2015.0,0.03
Prince of Persia: The Sands of Time,2003.0,2.22
The Cheetah Girls: Pop Star Sensations,2007.0,0.11
Windy X Windam,2010.0,0.01
Million God,2002.0,0.09
Call of Duty: Advanced Warfare,2014.0,7.53
Veggy World,2011.0,0.02
Line Rider 2: Unbound,2008.0,0.02
Frankenstein: The Dismembered Bride,2009.0,0.0
DJ Hero 2,2010.0,0.62
SingStar Abba,2008.0,1.36
WRC 5: FIA World Rally Championship,2015.0,0.11
Dragon Force II: Kamisarishi Daichi ni,1998.0,0.08
High Rollers Casino,2004.0,0.13
Saban's Power Rangers: Lightspeed Rescue,2000.0,0.36
FIFA 17,2016.0,10.94
D.Gray-man: Kami no Shitotachi,2007.0,0.05
Naruto Shippuden: Shinobi Rumble!!,2011.0,0.08
All-Star Baseball 2003,2002.0,0.15
Ougon no Kizuna,2009.0,0.0
WildStar,2014.0,0.16
Elebits,2006.0,0.32
Remington Great American Bird Hunt,2009.0,0.44
Batman: Vengeance,2001.0,0.18
Sins of a Solar Empire: Trinity,2010.0,0.03
SAS: Secure Tomorrow,2008.0,0.0
Nickelodeon Kart Racers,2018.0,0.09
Ben 10 (2017),2017.0,0.05
The Punisher,2005.0,0.0
Valhalla Knights 2,2008.0,0.23
Samantha Swift and the Hidden Roses of Athena,2010.0,0.05
Flips: Enid Blyton - Faraway Tree Stories,2009.0,0.0
Mobile Suit Gundam: Crossfire,2006.0,0.2
NCIS,2011.0,0.04
Moujuu-Tachi to Ohimesama,2016.0,0.02
Pac-Man Championship Edition 2 + Arcade Game Series,2017.0,0.1
Neopets Puzzle Adventure,2008.0,0.29
Alone In The Dark,2008.0,0.18
MLB SlugFest Loaded,2004.0,0.09
Young Justice: Legacy,2013.0,0.03
Far East of Eden Ziria: Harukanaru Jipang,2006.0,0.0
Sound Novel Evolution 1: Otogirisou Sosei-Hen,1999.0,0.17
Izuna 2: The Unemployed Ninja Returns (JP sales),2008.0,0.01
Prince of Persia (2008),2008.0,0.03
Doom,2001.0,0.14
Turbo: Super Stunt Squad,2013.0,0.04
¡Shin Chan Flipa en colores!,2007.0,0.14
Blood Omen 2,2002.0,0.05
F1 2012,2012.0,1.01
Pro Evolution Soccer 2015,2014.0,0.76
Dead Rising 2,2016.0,0.07
Hello Neighbor,2018.0,0.35
Just Dance 2018,2017.0,0.1
Arctic Thunder,2001.0,0.12
Jikkyou Powerful Pro Yakyuu 10 Chou Ketteiban: 2003 Memorial,2003.0,0.2
Top Gun: Combat Zones,2002.0,0.15
Yattaman DS: BikkuriDokkiri Daisakusen da Koron,2008.0,0.12
Pipe Dreams 3D,2001.0,0.14
Tecmo Bowl: Kickoff,2008.0,0.11
"Sakura Wars: So Long, My Love",2010.0,0.29
Code Geass: Hangyaku no Lelouch - Lost Colors,2008.0,0.06
Resident Evil 4,2009.0,0.03
Aikatsu Stars! My Special Appeal,2016.0,0.04
Galactic Taz Ball,2010.0,0.09
D-Day,2004.0,0.01
"Sesame Street: Ready, Set, Grover!",2011.0,0.1
Street Fighter IV,2009.0,4.19
Project X Zone 2,2016.0,0.19
Wildlife Park 3,2011.0,0.08
Nanostray,2005.0,0.06
World Championship Poker: Howard Lederer - All In,2006.0,0.14
Killer Instinct (2013),2014.0,0.11
Peter Jackson's King Kong: The Official Game of the Movie,2005.0,0.13
Yu-Gi-Oh! 5D's Wheelie Breakers,2009.0,0.1
Skylanders: Spyro's Adventure,2011.0,2.79
Machi no Pet-Ya-San DS 2: Wannyan 333-Hiki Daishuugou!,2009.0,0.0
Farming Simulator 17,2016.0,0.33
Toy Story 3: The Video Game,2010.0,2.06
Maximum Racing: GP Classic Racing,2011.0,0.03
IL-2 Sturmovik: 1946,2007.0,0.04
The Smurfs 2,2013.0,0.12
The Lord of the Rings: The Third Age,2004.0,0.29
SSX Blur,2007.0,0.33
Nazo Nazo & Quiz Ittou Nyuukon Q Mate!,2008.0,0.0
MLB 09: The Show,2009.0,0.72
Tiger Woods PGA Tour 06,2005.0,0.11
Nearwood,2014.0,0.0
Dragon Age: Inquisition,2014.0,0.53
Resident Evil 6,2012.0,3.12
Open Season,2006.0,0.01
Star Wars Battlefront II (2017),2017.0,1.92
Magi: The Labyrinth of Beginning,2013.0,0.07
Falling Skies: The Game,2016.0,0.0
Arx Fatalis,2003.0,0.05
WTA Tour Tennis,2002.0,0.05
Harry Potter and the Prisoner of Azkaban,2004.0,0.19
Yarudora Series Vol.1: Double Cast,1998.0,0.37
The Elder Scrolls IV: Oblivion,2009.0,4.47
Monster Hunter 3 Ultimate,2013.0,0.71
SD Gundam G Generation 3D,2011.0,0.16
Custom Beat Battle: Draglade 2,2008.0,0.03
Super Street Fighter II: Turbo Revival,2001.0,0.25
LEGO Dimensions,2015.0,0.65
Action Force,1983.0,0.54
Paws & Claws Pet Vet: Australian Adventures,2009.0,0.11
Spy Hunter,2001.0,1.67
Touhou Genso Rondo: Bullet Ballet,2016.0,0.07
The Incredibles: Rise of the Underminer,2005.0,0.36
Just Dance 2018,2017.0,0.17
Monobeno: Pure Smile,2014.0,0.01
The Orange Box,2007.0,0.14
Dragon Zakura DS,2007.0,0.01
Gundam SEED: Federation vs. Z.A.F.T.,2005.0,0.44
Thomas & Friends: Hero of the Rails,2010.0,0.09
Steel Soldiers,2001.0,0.0
NBA 2K18,2017.0,0.11
The Legend of Zelda: Oracle of Seasons,2001.0,1.86
Breath of Fire IV,2000.0,0.56
Eggheads,2011.0,0.0
Shrek 2,2004.0,1.86
Sega Genesis Classics,2018.0,0.18
Virtua Tennis 2009,2009.0,0.33
Uprising X,1998.0,0.07
Frogger Beyond,2002.0,0.13
UEFA Euro 2004: Portugal,2004.0,0.14
Tomb Raider (2013),2013.0,2.51
Reality Fighters,2012.0,0.13
The History Channel: Battle for the Pacific,2008.0,0.07
Ms Saga: A New Dawn,2006.0,0.05
Theatre Of War,2008.0,0.01
FIFA Soccer 12,2011.0,4.18
Cooking Mama: Cook Off,2007.0,2.89
Grand Slam,1997.0,0.04
Memories Off 6: T-Wave,2008.0,0.04
Enter the Matrix,2003.0,0.0
Override: Mech City Brawl,2018.0,0.03
Jim Henson's the Muppets: On With the Show!,2003.0,0.14
My Weight Loss Coach,2008.0,0.96
Little Nightmares,2018.0,0.05
Junior Brain Trainer,2009.0,1.03
Teen Titans,2005.0,0.17
Hero's Saga Laevatein Tactics,2009.0,0.14
Sniper Elite V2,2013.0,0.02
Naruto: Ninja Council 2 - European Edition,2008.0,0.23
Pure Farming 2018,2018.0,0.0
Silent Hill 3,2003.0,0.0
Midway Arcade Treasures 2,2004.0,0.68
Gotouchi Kenkei DS,2006.0,0.03
Ferrari Challenge Trofeo Pirelli Deluxe,2009.0,0.02
I am Setsuna,2017.0,0.05
Naruto Shippuuden: Ninja Council 4,2009.0,0.22
Virtua Tennis 3,2007.0,0.05
Breath of Fire: Dragon Quarter,2003.0,0.19
Legends of Oz: Dorothy's Return,2014.0,0.01
Gun,2005.0,0.18
Pro Baseball Spirits 2015,2015.0,0.14
Powerplay Tennis,2008.0,0.01
Need for Speed: Hot Pursuit,2010.0,2.2
Tactical Guild,2008.0,0.01
Fallout: New Vegas Ultimate Edition,2012.0,0.0
Triple Play 97,1996.0,0.38
Yu-Gi-Oh! 7 Trials to Glory: World Championship Tournament 2005,2005.0,0.42
MLB SlugFest 20-04,2003.0,0.0
Baroque,2008.0,0.08
Beyond Good & Evil,2003.0,0.33
Major League Baseball 2K11,2011.0,0.09
ParaParaParadise,2001.0,0.03
Spirit Camera: The Cursed Memoir,2012.0,0.25
Agassi Tennis Generation 2002,2003.0,0.0
All-Star Fruit Racing,2018.0,0.03
Pet Pals: New Leash on Life,2010.0,0.05
Cabela's Outdoor Adventures (2009),2009.0,0.31
Army of Two: The 40th Day,2010.0,0.99
Championship Manager: Season 00/01,2000.0,0.0
Prince of Persia: Rival Swords,2007.0,0.12
Has-Been Heroes,2017.0,0.07
Mr. Do!'s Castle,1984.0,0.17
Virtua Tennis 2009,2009.0,0.37
Monster High 13 Wishes,2013.0,0.0
Polaris,1983.0,0.28
Battleship / Connect Four / Sorry! / Trouble,2006.0,0.05
NASCAR Kart Racing,2009.0,0.42
Super Run For Money Tousouchuu & Sentouchuu,2018.0,0.02
Pro Evolution Soccer 2008,2008.0,1.19
Throne of Darkness,2001.0,0.0
MLB 07: The Show,2007.0,0.93
Jurassic Park III: Island Attack,2001.0,0.18
Marvel Super Heroes vs. Street Fighter,1999.0,0.26
Steal Princess,2009.0,0.02
Star Wars The Clone Wars: Republic Heroes,2009.0,0.03
Pro Yakyuu Spirits 5 Kanzenban,2008.0,0.05
Disney Princess,2003.0,1.47
Battle of Giants: Dinosaurs Strike,2010.0,0.19
God Wars The Complete Legend,2018.0,0.03
Shadow The Hedgehog,2005.0,0.18
Viewpoint,1995.0,0.07
